gCategory,gName,gAddress,gNumber
태권도,태권도왕호체육관,"인천광역시 계양구 아나지로197번길 4, 205호 (효성동, 뉴서울5차아파트상가)",032-551-5552
태권도,연세 남부 태권도장,"인천광역시 계양구 안남로 558, 3층 (효성동, 뉴서울아파트상가)",032-543-3333
골프,계양새마을금고,"인천광역시 계양구 주부토로 400, 3층 (작전동)",032-542-8111
골프,준 골프존,"인천광역시 계양구 오조산로45번길 8-1, 5층 (계산동)",032-553-0752
골프,오거스타,"인천광역시 계양구 안남로 548, 2층 (효성동)",032-888-1111
골프,리더스골프존,인천광역시 계양구 오조산로89번길 12 (용종동),032-888-1112
골프,바디웰짐,"인천광역시 계양구 오조산공원로 30, 9층 (용종동, 경원빌딩)",032-252-6000
골프,하나로 휘트니스,"인천광역시 계양구 아나지로 341, 2층 (작전동)",032-544-9696
골프,탑레인지,"인천광역시 계양구 계양대로 37, 4층 (작전동)",032-541-0707
골프,SG스크린골프,"인천광역시 계양구 아나지로 174, 5층 501,502호 (효성동, 성우 빌딩)",032-541-0708
골프,리치스크린골프,"인천광역시 계양구 벌말로 570, 2층 (상야동)",032-542-8001
골프,호성스크린골프,"인천광역시 계양구 양지로 155, 202호 (귤현동)",032-553-0708
골프,훼밀리 골프존,"인천광역시 계양구 임학동로 38, 5002호 (임학동, 훼밀리코아)",032-278-7500
골프,호성골프연습장,"인천광역시 계양구 양지로 155, 201호 (귤현동)",032-919-9999
골프,운남스크린골프,"인천광역시 계양구 장제로730번길 8, 5층 (작전동, 운남빌딩)",032-555-3469
골프,SG골프스쿨,"인천광역시 계양구 아나지로 174, 4층 401,402호 (효성동, 성우 빌딩)",032-555-3470
골프,골프 코리아,"인천광역시 계양구 오조산로89번길 12, 505호 (용종동)",032-555-3471
골프,홀인원 스마트 골프,"인천광역시 계양구 계양문화로53번길 13, 7층 701호 (계산동, 대주프라자)",032-556-1872
골프,메이드 스크린골프,"인천광역시 계양구 장기로 25, 2층 (장기동)",032-545-0753
헬스,정헬스,인천광역시 계양구 안남로 565 (효성동),032-548-5550
헬스,M.ST GYM,인천광역시 계양구 주부토로 541 (계산동),032-545-0710
헬스,진명스포아트,"인천광역시 계양구 계양대로 37, 2층 (작전동, 진명스포아트)",032-554-9500
헬스,파워헬스,인천광역시 계양구 아나지로417번길 20 (작전동),032-548-8087
헬스,헬스매니아,"인천광역시 계양구 경명대로 1049, 4층 (계산동)",032-555-2555
헬스,헬로 계양구청점,"인천광역시 계양구 계산새로 71, D동 9층 (계산동, 하이베라스빌딩)",032-555-3396
헬스,웰 라이프 휘트니스,인천광역시 계양구 주부토로 372 (작전동),032-551-1282
헬스,보보스 휘트니스,"인천광역시 계양구 도두리로 25, 6층 (계산동, 루비프라자)",032-549-2255
헬스,효성스포츠센타,"인천광역시 계양구 아나지로 75, 6층 (효성동, 효성다섬프라자)",032-548-7553
헬스,해든휘트니스,"인천광역시 계양구 장제로 929, 3층 (병방동, 돌샘프라자)",032-548-7554
헬스,라이프짐 휘트니스,"인천광역시 계양구 봉오대로 557, 2층 (효성동)",032-554-7773
헬스,고려 휘트니스,"인천광역시 계양구 장제로 755, 2층 (계산동)",032-555-1163
헬스,구관 패밀리 헬스,"인천광역시 계양구 오조산로 1, 601호 (작전동, 거승프라자)",032-552-0356
당구,행운당구장,"인천광역시 계양구 봉오대로 710, 2층 (작전동)",032-552-0357
당구,의 당구장,"인천광역시 계양구 계산천서로 12, 2층 (계산동)",032-552-0358
당구,SBS 당구클럽,"인천광역시 계양구 계양대로 151, 3층 (계산동)",032-552-0359
당구,JJ당구클럽,"인천광역시 계양구 안남로 512, 2층 (효성동)",032-552-0360
당구,금성 당구장,"인천광역시 계양구 주부토로 477, 3층 (계산동)",032-552-0361
당구,큐 당구클럽,"인천광역시 계양구 봉오대로 653, 2층 (작전동)",032-552-0362
당구,스카이 당구장,"인천광역시 계양구 주부토로529번길 4, 2층 (계산동)",032-552-0363
당구,대성 당구클럽,"인천광역시 계양구 경명대로 1016, 3층 (계산동)",032-552-0364
당구,7 당구클럽,"인천광역시 계양구 계양대로 178, 7층 701호 (계산동)",032-552-0365
당구,JK 빌리아드클럽,"인천광역시 계양구 계산새로 71, 지층 P101호 (계산동)",032-552-0366
당구,아키 당구클럽,"인천광역시 계양구 오조산로7번길 4, 성우프라자 3층 (작전동)",032-556-3341
당구,CM 당구클럽,"인천광역시 계양구 장제로 723, 3층 (작전동)",070-7756-1663
당구,3 당구클럽,"인천광역시 계양구 양지로 30, 3층 (동양동)",070-7756-1664
당구,3 당,"인천광역시 계양구 양지로 30, 2층 (동양동)",070-7756-1665
당구,날마다 당구클럽,"인천광역시 계양구 오조산로45번길 12, 유연프라자 4층 404~406호 (계산동)",070-7756-1666
당구,프로 당구클럽,"인천광역시 계양구 새벌로 90, 뉴서울3차아파트 상가동 2층 204,205,208,209호 (효성동)",070-7756-1667
당구,베스트 당구클럽,"인천광역시 계양구 계산새로 1, 2동 3층 (계산동)",032-552-4378
당구,프로 당구클럽,"인천광역시 계양구 안남로 566, 3층 (효성동)",032-552-4379
당구,프로 당구클럽,"인천광역시 계양구 경명대로 1083, 3층 (계산동)",032-552-4380
썰매 ,코코몽 어드벤처,"인천광역시 계양구 봉오대로 855, B201호 (서운동)",032-556-1999
야구,레전드스크린야구존,"인천광역시 계양구 오조산로45번길 16, 여흥프라자 5층 (계산동)",032-555-8787
야구,스트라이크존 인천계양구장,"인천광역시 계양구 오조산로45번길 8-1, 3층 1호 (계산동)",032-555-4939
야구,스트라이크존 인천계산구장,"인천광역시 계양구 오조산로45번길 8-1, 지층 (계산동)",032-555-4939
야구,다함께야구왕 계양시티점,"인천광역시 계양구 오조산로45번길 11, 한빛프라자 6층 (계산동)",032-553-0333
댄스,댄스파크,인천광역시 계양구 오조산로57번길 15 (계산동),032-553-0334
수영,검단복지회관 수영장,인천광역시 서구 마전동 산 147 ,032-561-4115
수영,블루라군,인천광역시 서구 청라동 130-4 ,032-715-6688
수영,포세이돈 스위밍 아카데미,인천광역시 서구 청라동 163-3 홍익파크 802호,032-569-4320
수영,검단오션차일드,인천광역시 서구 당하동 895-1 상가동 지101호,032-566-9985
수영,마린어린이수영장,인천광역시 서구 경서동 726-1 ,032-566-9986
수영,드림파크 스포츠센터,인천광역시 서구 백석동 58 수도권매립지공사 21동 ,032-560-9593
수영,그로윈 스윔 아카데미,인천광역시 서구 청라동 157-18 반안프라자 3차 ,032-560-9594
수영,(주)슈퍼스타스위밍아카데미,인천광역시 서구 가정동 618-5 MK타워 ,032-721-7676
수영,국제키즈스포츠스쿨,인천광역시 서구 청라동 173-1 청라29블럭호반베르디움 ,032-721-7677
태권도,동남체육관,인천광역시 서구 석남동 579-13 ,032-572-8330
태권도,상무체육관(태권도),인천광역시 서구 석남동 558-2 ,032-573-6639
태권도,금메달체육관(태권도),인천광역시 서구 가정동 515-6 ,032-572-4756
태권도,석남 백호 태권도장,인천광역시 서구 석남동 471-2 ,032-575-8302
태권도,한미체육관(태권도),인천광역시 서구 가좌동 361-1 ,032-578-6306
태권도,신양체육관,인천광역시 서구 석남동 538-3 ,032-578-6307
태권도,경희대 액티브 태권도,인천광역시 서구 석남동 587-48 ,032-578-6324
태권도,엘리트 태권도장,인천광역시 서구 심곡동 337-6 ,032-565-0821
태권도,태무한신태권도장,인천광역시 서구 가정동 546 ,032-581-0873
복싱,빡 복싱클럽,인천광역시 서구 석남동 539-2 5층 ,032-575-3547
태권도,하나태권도체육관,인천광역시 서구 가정동 341-14 ,032-579-4646
골프,골프존파크스크린연습장,인천광역시 서구 원창동 381-76 북항프라자 ,032-579-4647
골프,청라진아골프존,인천광역시 서구 청라동 141-12 오성타운 ,032-579-4648
골프,GDR아카데미 인천검단점,인천광역시 서구 마전동 910-1 ,032-579-4649
골프,골프존 파크 가정 루원시티점,인천광역시 서구 가정동 618-5 MK타워 ,032-579-4650
골프,상신스크린골프,인천광역시 서구 가좌동 556-54 상신이엔씨 ,032-575-0753
골프,쓰리엠에스지(SG)골프,인천광역시 서구 가정동 619-7 ,032-575-0754
골프,정골프피팅,인천광역시 서구 석남동 223-85 ,032-575-0755
골프,다온스크린골프연습장,인천광역시 서구 석남동 223-85 ,032-572-3010
골프,김종국오픈스크린골프,인천광역시 서구 가정동 616-3 화방주차타워 ,032-565-0753
골프,브라보골프,인천광역시 서구 원창동 381-67 ,032-583-7900
골프,아인스,인천광역시 서구 청라동 157-19 청라 에이스프라자 ,032-583-7901
골프,AMG 휘트니스 골프,인천광역시 서구 석남동 518-18 ,032-583-7902
골프,엑시토 골프,인천광역시 서구 당하동 1095-6 ,032-583-7903
골프,지인 골프점,인천광역시 서구 석남동 510-11 ,032-583-7904
골프,시티타워 스크린골프,인천광역시 서구 청라동 96-1 706호,032-583-7905
헬스,명체육관,인천광역시 서구 가좌동 139-10 4층 ,032-581-3860
헬스,연희헬스,인천광역시 서구 연희동 686-4 ,032-565-1889
헬스,용인대타이곤헬스클럽,인천광역시 서구 심곡동 259-6 ,032-564-2920
헬스,석남헬스클럽,인천광역시 서구 석남동 575 ,032-573-1550
헬스,백석스포렉스헬스클럽,인천광역시 서구 백석동 85 ,032-567-6661
헬스,파워헬스클럽,인천광역시 서구 연희동 697-3 ,032-564-5698
헬스,고려헬스타운,인천광역시 서구 마전동 698-4 ,032-564-3962
헬스,고려헬스클럽,인천광역시 서구 심곡동 290 ,032-561-9696
헬스,아센 휘트니스,인천광역시 서구 가좌동 72-1 4층 ,032-583-6788
헬스,귀빈헬스,인천광역시 서구 왕길동 638-2 마전빌딩6층 ,032-566-8350
당구,비바체 당구클럽,인천광역시 서구 석남동 592-8 ,032-577-2114
당구,시티당구클럽,인천광역시 서구 가정동 618-2 ,032-577-2115
당구,완정 당구클럽,인천광역시 서구 당하동 1092-1 영프라자 ,032-577-2116
당구,7전8큐,인천광역시 서구 석남동 446 월드메르디앙아파트 ,032-577-2117
당구,큐당구장,인천광역시 서구 원창동 381-68 그리니프라자 ,032-577-2118
당구,Q당구클럽,인천광역시 서구 심곡동 325-8 ,032-577-2119
당구,제이제이 당구장,인천광역시 서구 석남동 539-6 ,032-577-2120
당구,M 빌리어즈 클럽,인천광역시 서구 청라동 165-12 지젤엠청라 ,032-577-2121
당구,짝때기 당구클럽,인천광역시 서구 검암동 산 667-1 ,032-577-2122
당구,펍큐당구클럽인천서구청점,인천광역시 서구 심곡동 246-4 진수빌딩 ,032-577-2123
당구,SBS당구장,인천광역시 서구 심곡동 298-2 덕산빌딩 ,032-577-2124
당구,옵티머스빌리어드 청라점,인천광역시 서구 청라동 157-18 반안프라자 3차 ,032-577-2125
당구,루원 당구장,인천광역시 서구 가정동 618-5 MK타워 ,032-577-2126
당구,우리당구클럽,인천광역시 서구 가정동 507-5 형제빌딩 ,032-577-2127
당구,빌스퀘어 당구장,인천광역시 서구 청라동 157-21 청라한신더휴커낼웨이 ,032-710-3972
썰매 ,서구사계절썰매장,인천광역시 서구 공촌동 산 140-2 ,032-565-3483
댄스,인천무도학원,인천광역시 서구 석남동 520-1 ,032-581-8663
댄스,최연희 아카데미,인천광역시 서구 석남동 519-6 ,032-574-5439
댄스,석남무도학원,인천광역시 서구 석남동 495 ,032-581-6687
승마,유천승마장,인천광역시 서구 시천동 144-7 ,032-581-6688
헬스,주식회사 지젤스포츠클럽(청라지점),인천광역시 서구 청라동 165-12 지젤엠청라 4층 ,032-623-4400
야구,드림파크문화재단(제1야구장),인천광역시 서구 경서동 372 ,032-560-9971
야구,(사) 아라유소년 야구협회,인천광역시 서구 백석동 51-34 아라베이스볼파크 ,032-560-9972
골프,TEAM JG 골프아카데미,인천광역시 서구 청라동 163-2 청연프라자 ,032-560-9973
야구,스트라이크존(인천 서구청구장),인천광역시 서구 심곡동 245-6 태영프라자 ,032-568-0077
테니스,월디테니스장,인천광역시 중구 항동7가 82-29,032-568-0078
족구,월디족구장,인천광역시 중구 항동7가 82-29,032-568-0079
축구,중구국민체육센터 축구장,인천광역시 중구 축항대로 296번길 81,032-568-0080
풋살,중구국민체육센터 풋살장,인천광역시 중구 축항대로 296번길 81,032-568-0081
육상,중구국민체육센터 육상경기장,인천광역시 중구 축항대로 296번길 81,032-568-0082
헬스,중구국민체육센터 다목적체육관,인천광역시 중구 축항대로 296번길 81,032-568-0083
골프,중구국민체육센터 골프연습장,인천광역시 중구 축항대로 296번길 81,032-568-0084
수영,중구국민체육센터 수영장,인천광역시 중구 축항대로 296번길 81,032-568-0085
골프,중구노인복지관 게이트볼장,인천광역시 중구 제물량로 80번길 3-24,032-568-0086
배드민턴,배드민턴장,인천광역시 중구 북성동3가 1,032-568-0087
골프,영종복합청사내 게이트볼장,인천광역시 중구 운남서로 100-1,032-568-0088
테니스,영종테니스장,인천광역시 중구 운남서로 100-1,032-568-0089
농구,고염나무골 다목적구장,인천광역시 중구 운북동 752-130일원,032-568-0090
헬스,영종성당내동네체육시설,인천광역시 중구 백운로28번지 일원,032-568-0091
축구,영종영마루공원 축구장,인천광역시 중구 영종대로 85,032-568-0092
풋살,영종영마루공원 풋살장,인천광역시 중구 영종대로 85,032-568-0093
육상,영종영마루공원 육상경기장,인천광역시 중구 영종대로 85,032-568-0094
농구,남북동 다목적구장,인천광역시 중구 남북동 928-6,032-568-0095
수영장,에이스스포츠센터,인천광역시 미추홀구 주안동 300-3 ,032-422-4420
태권도,한성태권도장,인천광역시 미추홀구 용현동 565-96 ,032-883-5119
합기도,합기도정도관,인천광역시 미추홀구 주안동 197-21 ,032-862-6980
태권도,인천대도화태권도체육관,인천광역시 미추홀구 도화동 545-19 ,032-862-6981
복싱,인천금강복싱체육관,인천광역시 미추홀구 숭의동 60-31 형제빌딩 ,032-883-1356
태권도,하나남인천태권도체육관,인천광역시 미추홀구 도화동 16-2 우리타워 401호,032-883-1357
태권도,유신태권도장,인천광역시 미추홀구 숭의동 1-114 ,032-882-7680
검도,전무검도관,인천광역시 미추홀구 주안동 929-11 ,032-428-9880
태권도,인하서태권도장,인천광역시 미추홀구 학익동 37-9 ,032-867-8363
태권도,올림픽태권도체육관,인천광역시 미추홀구 도화동 883 ,032-867-8364
